,Availability,Brand,Name,Proof,Region,Type,Weight,Previous_price,Discount_price,Price_diff,Discount
0,In stock,Skrewball,Skrewball Peanut Butter Whiskey 750ml,70.0,America,Whiskey,3.5 lbs,24.95,24.95,0.0,0.0
1,Out of stock,E.H. Taylor,E.H. Taylor Small Batch Bourbon Whiskey 750ml,100.0,America,Whiskey,3.5 lbs,49.95,43.95,6.0,0.12012012012012012
2,In stock,"Buffalo Trace, Eagle Rare",Eagle Rare Bourbon Whiskey 750ml,100.0,America,Whiskey,3.5 lbs,33.95,33.95,0.0,0.0
5,Out of stock,Willett,Willett Family Estate Bottled 4 Year Rye 750ml,106.2,America,Rye,3.5 lbs,59.95,59.95,0.0,0.0
6,In stock,Empress 1908,Empress 1908 Gin 750ml,85.0,Canada,Gin,3.5 lbs,29.95,26.95,3.0,0.1001669449081803
8,In stock,Sazerac,Sazerac Rye Whiskey 750ml,90.0,America,Whiskey,3.5 lbs,27.95,27.95,0.0,0.0
9,In stock,Clase Azul,Tequila Clase Azul Reposado 750ml,80.0,Mexico,Tequila,7 lbs,84.95,84.95,0.0,0.0
10,In stock,Cava De Oro,Cava De Oro Extra Anejo Tequila 750ml,76.0,Mexico,Tequila,3.5 lbs,84.95,84.95,0.0,0.0
11,Out of stock,Woodford Reserve,Woodford Reserve 2019 20th Anniversary Kentucky Derby Bourbon Whiskey,90.4,America,Whiskey,3.5 lbs,54.95,54.95,0.0,0.0
15,In stock,Ciroc,Ciroc Summer Watermelon Vodka,80.0,France,Vodka,3.5 lbs,26.95,26.95,0.0,0.0
17,Out of stock,Willett,Willett Pot Still Reserve Small Batch Bourbon Whiskey,94.0,America,Whiskey,3.5 lbs,49.95,49.95,0.0,0.0
19,Out of stock,Weller,Weller Special Reserve Bourbon Whiskey 750ml,90.0,America,Whiskey,3.5 lbs,59.95,59.95,0.0,0.0
20,In stock,Proper No Twelve,Proper No. Twelve Irish Whiskey 750ml,80.0,Ireland,Whiskey,3.5 lbs,24.95,24.95,0.0,0.0
21,Out of stock,Weller,Old Weller Antique 107 Bourbon Whiskey 750ml,107.0,America,Whiskey,3.5 lbs,109.95,109.95,0.0,0.0
22,In stock,Remy Martin,Remy Martin Just Remy Limited Edition 1738 Sneaker Box,80.0,France,Cognac,8 lbs,59.95,59.95,0.0,0.0
23,In stock,Bumbu Rum Co,Bumbu Rum Co Original 750ml,70.0,Barbados,Rum,3.5 lbs,34.95,34.95,0.0,0.0
24,Out of stock,Angels Envy,Angels Envy Caribbean Rum Cask Finish Rye Whiskey,100.0,America,Whiskey,3.5 lbs,88.95,88.95,0.0,0.0
25,In stock,Four Roses,Four Roses Small Batch Select Bourbon Whiskey,104.0,America,Whiskey,3.5 lbs,59.95,59.95,0.0,0.0
26,In stock,MB Roland,MB Roland Kentucky Straight Bourbon Whiskey 750ml,110.2,America,Whiskey,3.5 lbs,49.95,49.95,0.0,0.0
28,Out of stock,Crown Royal,Crown Royal Peach Whiskey,70.0,Canada,Whiskey,3.5 lbs,49.95,49.95,0.0,0.0
30,In stock,Johnnie Walker,Johnnie Walker White Walker,83.4,Scotland,Scotch,3.5 lbs,34.95,34.95,0.0,0.0
31,Out of stock,Rebel Yell,Rebel Yell 10 Year Single Barrel Bourbon Whiskey,100.0,America,Whiskey,3.5 lbs,69.95,69.95,0.0,0.0
32,Out of stock,Hibiki,Hibiki Japanese Harmony Special Edition Whiskey,86.0,Japan,Whiskey,3.5 lbs,249.95,249.95,0.0,0.0
33,Out of stock,Tequila Dos Artes,Dos Artes Limited Edition Extra Anejo 1 Liter,80.0,Mexico,Tequila,5 lbs,144.95,144.95,0.0,0.0
35,Out of stock,High West,High West A Midwinter Nights Dram A6S6 750ml,98.6,America,Whiskey,3.5 lbs,129.95,129.95,0.0,0.0
36,In stock,Fortaleza,Fortaleza Anejo Tequila 750ml,80.0,Mexico,Tequila,3.5 lbs,89.95,89.95,0.0,0.0
39,In stock,Hibiki,Hibiki Japanese Harmony Whisky 750ml,96.0,Japan,Whiskey,3.5 lbs,99.95,99.95,0.0,0.0
41,Only 3 left in stock,Blackened,Blackened American Metallica Whiskey 750ml,90.0,America,Whiskey,3.5 lbs,44.95,44.95,0.0,0.0
42,Only 3 left in stock,Nikka,Nikka From The Barrel Whiskey 750ml,102.0,Japan,Whiskey,3.5 lbs,119.95,119.95,0.0,0.0
43,In stock,Adictivo,Adictivo Anejo Tequila 750ml,80.0,Mexico,Tequila,3.5 lbs,49.95,49.95,0.0,0.0
44,In stock,Adictivo,Adictivo Extra Anejo Tequila 750ml,80.0,Mexico,Tequila,3.5 lbs,88.95,88.95,0.0,0.0
45,Out of stock,Old Ezra,Old Ezra 7 Year Bourbon Whiskey 750ml,117.0,America,Whiskey,3.5 lbs,59.95,59.95,0.0,0.0
46,Out of stock,Yamazaki,Yamazaki 12 Year Single Malt Japanese Whiskey 750ml,86.0,Japan,Whiskey,3.5 lbs,199.95,199.95,0.0,0.0
47,In stock,Mitchers,Michters Bourbon Whiskey 750ml,91.4,America,Whiskey,3.5 lbs,33.33,33.33,0.0,0.0
49,In stock,Angel's Envy,Angels Envy Port Barrel Finished Bourbon Whiskey,86.6,America,Whiskey,3.5 lbs,49.95,49.95,0.0,0.0
50,In stock,Diplomatico,Diplomatico Reserva Exclusiva Rum 750ml,80.0,Venezuela,Rum,3.5 lbs,42.95,42.95,0.0,0.0
52,Out of stock,Willett,Willett Family Estate Bottled 3 Year Rye 750ml,100.0,America,Rye,3.5 lbs,49.95,49.95,0.0,0.0
53,In stock,Adictivo,Adictivo Reposado Tequila 750ml,80.0,Mexico,Tequila,3.5 lbs,43.95,43.95,0.0,0.0
54,In stock,Partida,Tequila Partida Reposado 750ml,80.0,Mexico,Tequila,3.5 lbs,45.95,32.95,13.0,0.2829162132752992
55,In stock,Glenlivet,Glenlivet 18 Year Single Malt Scotch Whiskey 750ml,80.0,Scotland,Scotch,3.5 lbs,119.95,119.95,0.0,0.0
57,In stock,Cava De Oro,Cava De Oro Anejo Tequila 750ml,76.0,Mexico,Tequila,3.5 lbs,69.95,52.95,17.0,0.24303073624017155
58,In stock,MB Roland,MB Roland Kentucky Dark Fired Whiskey 750ml,112.4,America,Whiskey,3.5 lbs,49.95,49.95,0.0,0.0
